event_id,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
581815,0.3588388,0.380375,0.347875,0.38925004,71.280655,76.677055,69.8558,74.36705
581828,0.34573337,0.37258336,0.335,0.37358332,70.26575,74.151505,69.15275,72.7865
581848,0.35349044,0.37879166,0.3449999,0.37416664,70.075134,73.87865,68.962395,72.6224
584088,0.35734463,0.3957083,0.34025002,0.40316668,69.65817,75.02826,68.2895,72.56075
584252,0.35614213,0.37133336,0.34808335,0.37870833,71.51053,78.16716,69.6809,75.56465
584256,0.35697913,0.38691664,0.3451666,0.38749996,70.31105,76.381096,68.7161,73.756096
584089,0.34399125,0.40274993,0.32037506,0.40537503,68.48573,73.4552,67.256454,71.04395
584092,0.31344375,0.39487502,0.28516677,0.38325,69.786545,74.38025,68.67275,72.074005
584095,0.32072544,0.39541665,0.29312506,0.39045835,69.46213,74.18555,68.331795,71.76305
584091,0.30669415,0.39229164,0.2774166,0.37854168,69.91287,74.43785,68.82034,72.15035
597534,0.30565962,0.39120832,0.27862492,0.36983335,70.91705,75.3221,69.8471,73.1171
584300,0.3911017,0.4035417,0.38325003,0.41387498,70.14174,76.09265,68.33389,74.3564
584304,0.38552666,0.41254166,0.37429157,0.41504166,70.87835,76.985756,69.028244,75.18575
584310,0.37680247,0.408,0.36333334,0.41258335,70.091415,76.12851,68.261,74.35476
584312,0.37680247,0.408,0.36333334,0.41258335,71.039116,77.0762,69.208694,75.302444
590159,0.3873633,0.41495833,0.37600005,0.41712508,70.84685,76.849396,69.0419,75.03441
584319,0.3851608,0.40370834,0.37554166,0.41195837,70.80057,76.8569,68.9594,75.094406
584322,0.37680247,0.408,0.36333334,0.41258335,71.28481,77.3219,69.4544,75.54816
590165,0.3801767,0.40979168,0.36725,0.41462502,70.48543,76.42206,68.68205,74.68955
584998,0.3774763,0.38662502,0.37558332,0.3809166,72.245865,78.6407,70.315704,76.73195
584999,0.36340377,0.37962496,0.3585416,0.3746667,71.60746,78.122444,69.669945,76.0787
585000,0.35326466,0.36358333,0.34770837,0.368875,73.096634,79.32575,71.18825,77.56325
585004,0.3541292,0.3724167,0.34762505,0.3703333,72.002716,78.3089,70.085144,76.47515
585007,0.35510418,0.3694167,0.3497083,0.36883327,72.095825,78.64445,70.1507,76.581955
585011,0.35433206,0.37595832,0.34770837,0.36983332,71.84375,78.279205,69.9317,76.2542
585012,0.3748217,0.39829168,0.36374998,0.40495837,70.92103,76.840546,69.1418,75.04806
586021,0.43552038,0.48016658,0.41508332,0.49070832,69.549164,74.93645,67.95396,73.2227
585013,0.3661412,0.38712502,0.35716656,0.38991663,72.01806,77.88155,70.25405,76.11155
585015,0.3696617,0.3944167,0.35775003,0.40224996,71.35479,77.3858,69.533295,75.58955
586023,0.37428704,0.4298333,0.35699996,0.41504166,70.32305,75.63215,68.76589,73.89215
586024,0.43067172,0.45354173,0.4209999,0.45620826,70.927666,76.49135,69.29886,74.6576
597536,0.43067172,0.45354173,0.4209999,0.45620826,70.62346,76.18715,68.994644,74.3534
586025,0.3203496,0.37220836,0.30320832,0.36183333,71.07924,75.86465,69.65465,74.3684
586031,0.42293704,0.44758332,0.41679168,0.43579158,71.419136,77.19679,69.6743,75.47555
586026,0.33055958,0.37470832,0.31699994,0.3623334,71.0603,75.4982,69.69321,74.268196
586027,0.38867834,0.42170835,0.3793334,0.40970835,65.48368,69.90965,64.09715,68.76215
579090,0.36771,0.43662503,0.34183332,0.43345833,69.96883,75.03786,68.46785,73.42535
579074,0.32936668,0.40216663,0.300375,0.4045,69.0524,74.0276,67.5551,72.5276
586106,0.43143833,0.47420827,0.41558337,0.47154167,70.116585,75.5348,68.51479,73.8023
586028,0.31871462,0.39883336,0.2902916,0.38945833,71.20108,75.72605,69.8198,74.42854
586029,0.41201794,0.47229168,0.3891249,0.47041667,69.601585,74.73845,68.070946,73.1372
586032,0.43552038,0.48016658,0.41508332,0.49070832,69.64276,75.03005,68.04756,73.3163
586033,0.43206427,0.47841668,0.41187492,0.48583332,69.97251,75.33965,68.379654,73.64465
586034,0.31871462,0.39883336,0.2902916,0.38945833,70.73308,75.25806,69.35181,73.96055
586035,0.32216418,0.40691662,0.29520836,0.38633338,70.2125,74.78496,68.81496,73.47995
586036,0.44667712,0.4878333,0.4292499,0.49270833,69.948235,75.361855,68.34935,73.6256
586038,0.43552038,0.48016658,0.41508332,0.49070832,69.17476,74.56205,67.57955,72.848305
586039,0.3985025,0.4555,0.3755833,0.45808348,69.674866,74.8016,68.1416,73.22285
586144,0.4236063,0.4419999,0.41670835,0.441125,70.85832,77.231,69.029755,75.0035
586040,0.31417668,0.38791668,0.29191664,0.36591673,70.339325,74.489006,69.07776,73.2815
586041,0.34742293,0.4055417,0.32658336,0.39949998,69.944336,75.05466,68.402145,73.5284
586115,0.31417668,0.38791668,0.29191664,0.36591673,69.777725,73.9274,68.51614,72.7199
586131,0.34742293,0.4055417,0.32658336,0.39949998,69.56995,74.68025,68.027756,73.15401
586110,0.32603294,0.37579164,0.31145826,0.3594167,71.46965,76.97585,69.83585,75.23585
586116,0.32735294,0.39104167,0.30891666,0.3693333,69.374565,73.3925,68.15,72.23375
586111,0.3052729,0.3964167,0.27504167,0.3785417,71.480644,75.807495,70.16,74.56625
586113,0.31325337,0.38483337,0.2906666,0.3668333,69.2822,73.64674,67.96551,72.34175
586139,0.35548878,0.39612496,0.34399998,0.38133338,70.64743,75.02165,69.27666,73.889145
586130,0.30234125,0.39487502,0.27458337,0.36666667,69.52667,73.65755,68.2538,72.5138
586129,0.30234125,0.39487502,0.27458337,0.36666667,71.141266,75.27215,69.8684,74.1284
586138,0.33055958,0.37470832,0.31699994,0.3623334,71.0603,75.4982,69.69321,74.268196
586133,0.31420913,0.39329168,0.2920833,0.36370826,69.24081,73.37585,67.9871,72.16085
586136,0.31420913,0.39329168,0.2920833,0.36370826,70.78521,74.92024,69.5315,73.705246
586141,0.44934794,0.46016666,0.44845828,0.4487916,70.90201,76.3271,69.23959,74.79335
586135,0.31378415,0.38341665,0.29154158,0.36683333,70.63884,75.15066,69.28565,73.7744
586346,0.35493913,0.39291668,0.3446666,0.37749997,70.054245,76.8137,68.17369,74.248695
