event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
584312,TRIMBLE CO.,0,0,25000,0,0,0
590159,CARROLL CO.,0,0,2000,0,0,0
584319,HENRY CO.,0,0,0,0,0,0
584322,TRIMBLE CO.,0,0,0,0,0,0
590165,CARROLL CO.,0,0,25000,0,0,0
584998,JEFFERSON CO.,0,0,15000,0,0,0
584999,SPENCER CO.,0,0,0,0,0,0
585000,JEFFERSON CO.,0,0,30000,0,0,0
585004,JEFFERSON CO.,0,0,0,0,0,0
585007,SPENCER CO.,0,0,0,0,0,0
585011,NELSON CO.,0,0,0,0,0,0
585012,JESSAMINE CO.,0,0,0,0,0,0
586021,MORGAN CO.,0,0,1000,0,0,0
585013,MERCER CO.,0,0,0,0,0,0
585015,ANDERSON CO.,0,0,0,0,0,0
586023,LAUREL CO.,0,0,1000,0,0,0
586024,KNOX CO.,0,0,1000,0,0,0
597536,KNOX CO.,0,0,0,0,0,0
586025,KNOX CO.,0,0,1000,0,0,0
586031,WAYNE CO.,0,0,1000,0,0,0
586026,BELL CO.,0,0,1000,0,0,0
586027,BELL CO.,0,0,1000,0,0,0
579090,LAWRENCE CO.,0,0,100000,0,0,0
579074,CARTER CO.,0,0,150000,0,0,0
586106,OWSLEY CO.,0,0,1000,0,0,0
586028,BREATHITT CO.,0,0,1000,0,0,0
586029,BREATHITT CO.,0,0,1000,0,0,0
586032,MORGAN CO.,0,0,1000,0,0,0
586033,WOLFE CO.,0,0,1000,0,0,0
586034,BREATHITT CO.,0,0,1000,0,0,0
586035,MAGOFFIN CO.,0,0,1000,0,0,0
586036,WOLFE CO.,0,0,1000,0,0,0
586038,MORGAN CO.,0,0,1000,0,0,0
586039,MAGOFFIN CO.,0,0,1000,0,0,0
586144,PULASKI CO.,0,0,1000,0,0,0
586040,KNOTT CO.,0,0,1000,0,0,0
586041,MENIFEE CO.,0,0,1000,0,0,0
586115,PERRY CO.,0,0,1000,0,0,0
586131,MENIFEE CO.,0,0,1000,0,0,0
586110,ROCKCASTLE CO.,0,0,1000,0,0,0
586116,LETCHER CO.,0,0,1000,0,0,0
586111,BREATHITT CO.,0,0,1000,0,0,0
